tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Apartamento,Vila Vilas Boas,Avenida Três Barras,60.0,2,1,,1800,150.0,
Casa,Panorama,Rua Roraima,,2,1,1.0,1800,,
Apartamento,Tiradentes,Rua Silvino Dote,44.0,2,1,1.0,1800,,
Casa,Vila Eliane,Avenida Duque de Caxias,65.0,2,1,2.0,1800,300.0,
Casa,Sobrinho,Rua Benjamin Constant,214.0,3,1,2.0,1800,,
Apartamento,Jardim Jacy,Avenida Europa,101.0,3,2,1.0,1800,,
Apartamento,Centro,Rua Marechal Rondon,151.0,4,3,1.0,1800,1498.0,431.0
Apartamento,Vila Moreninha,Rua Maracaju,80.0,3,3,1.0,1800,688.0,199.0
Casa,Vila Nova Campo Grande,Rua 116,74.0,2,1,1.0,1800,,
Apartamento,Coronel Antonino,Rua São Sepé,60.0,2,1,,1800,,150.0
Casa,Parque do Sol,Rua Maria Del Horno Samper,100.0,3,2,4.0,1800,,172.0
Casa,Vila Carlota,Rua do Franco,50.0,2,1,3.0,1850,,103.0
Apartamento,São Francisco,Rua Quatorze de Julho,52.0,2,1,1.0,1900,,
Casa,Monte Castelo,Rua Rio de Janeiro,67.0,3,1,,1900,,
Apartamento,Tiradentes,Avenida Marquês de Pombal,49.0,2,1,,1900,,
Apartamento,Centro,Rua Rui Barbosa,69.0,3,2,1.0,1900,470.0,240.0
Apartamento,Cabreúva,Rua Quatorze de Julho,60.0,2,1,1.0,1930,450.0,120.0
Apartamento,Monte Castelo,Rua Antonina de Castro Faria,80.0,2,1,2.0,2000,875.0,286.0
Casa,Universitário,Rua Elvira Matos de Oliveira,100.0,3,2,,2000,,
Apartamento,Centro,Avenida Afonso Pena,120.0,2,1,,2000,488.0,19.0
Casa,Monte Carlo,Rua Val de Palmas,126.0,3,1,2.0,2000,,
Apartamento,Vila Rosa Pires,Rua Uberlândia,99.0,3,2,1.0,2000,,
Casa,Pioneiros,Rua Ana Luiza de Souza,150.0,1,1,1.0,2000,,
Casa,Jardim Itamaracá,Rua Joana Maria de Souza,79.0,2,2,2.0,2000,,108.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53.0,2,1,1.0,2000,326.0,125.0
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,46.0,2,2,2.0,2000,,
Apartamento,Vila Rosa Pires,Rua Uberlândia,99.0,3,2,1.0,2000,985.0,305.0
Apartamento,Bairro Seminário,Rua Cardeal Arcoverde,50.0,2,1,2.0,2000,,
Casa,Jardim Colibrí,Rua João Scarano,100.0,3,1,2.0,2000,,
Casa,Portal do Panamá,Rua Antônio Pereira Veríssimo,100.0,2,2,3.0,2000,,
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,,3,3,1.0,2000,910.0,214.0
Apartamento,Monte Castelo,Rua Onoria Martins Pereira,50.0,2,1,1.0,2000,,
Apartamento,Vila Albuquerque,,65.0,3,2,1.0,2000,522.0,217.0
Casa,Jardim Tijuca,Rua Culuene,160.0,2,1,1.0,2000,,84.0
Casa,Vila Sílvia Regina,Rua Gravatá,100.0,3,1,2.0,2000,,
Apartamento,Mata do Jacinto,Rua Afro Puga,54.0,2,1,1.0,2000,474.0,166.0
