tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Apartamento,Vila Célia,Rua Goiás,80,2,1,1.0,1500,0.0,0.0,0
Apartamento,Jardim Leblon,Rua Guaianazes,78,3,1,1.0,1500,0.0,0.0,0
Apartamento,Vila Glória,Rua Iria Loureiro Viana,65,1,1,1.0,1500,364.0,101.0,1
Apartamento,Parque Residencial Rita Vieira,Avenida Rita Vieira de Andrade,100,1,1,1.0,1518,400.0,142.0,1
Apartamento,Coopharádio,Rua Caldas Aulete,113,3,1,1.0,1550,575.0,167.0,1
Apartamento,Jardim Paradiso,Rua Ângela Abdulahad,50,2,1,1.0,1560,0.0,0.0,0
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,39,2,1,1.0,1565,350.0,90.0,1
Apartamento,Vila Ipiranga,Rua Carandá,61,2,1,1.0,1600,350.0,78.0,1
Apartamento,Mata do Jacinto,Rua Jamil Basmage,87,3,2,1.0,1600,0.0,0.0,0
Apartamento,Vila Cidade Morena,Rua Villas de Paloma,55,2,1,2.0,1600,170.0,119.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,40,2,1,1.0,1600,0.0,0.0,0
Apartamento,Centro,Rua José Antônio,179,3,3,2.0,1600,1630.0,493.0,1
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,130,2,3,2.0,1600,1535.0,464.0,1
Apartamento,Vila Nova Campo Grande,Rua 32,71,2,1,1.0,1600,0.0,953.0,0
Apartamento,Vila Margarida,Rua Rio Negro,60,3,2,1.0,1600,470.0,195.0,1
Casa,Coopharádio,Rua Ortósia,99,3,2,2.0,1600,0.0,0.0,0
Apartamento,Coopharádio,Rua Caldas Aulete,113,3,1,1.0,1600,575.0,166.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50,2,1,1.0,1600,322.0,0.0,1
